id,level,type,arabic_text,korean_meaning,root,form,pattern,gender,phrase_components,singular_form,sentence_analysis,cefr
10001,1,vocabulary,لَا,않기,,0,,,,,,A1
10002,1,vocabulary,لِي,나,,0,,,,,,A1
10003,1,vocabulary,مَا,무엇,,0,,,,,,A1
10004,1,vocabulary,كَمْ,몇,,0,,,,,,A1
10005,1,vocabulary,كُنْ,되어라,,0,,,,,,A1
10006,1,vocabulary,أَبُو,아버지,,0,,,,,,A1
10007,1,vocabulary,أَخِي,형제,,0,,,,,,A1
10008,1,vocabulary,أَنَا,나는,,0,,,,,,A1
10009,1,vocabulary,اسْمُ,이름,,0,,,,,,A1
10010,1,vocabulary,بَنَى,지었다,,0,,,,,,A1
10011,1,vocabulary,عَلَى,책상,,0,,,,,,A1
10012,1,vocabulary,فَازَ,이겼다,,0,,,,,,A1
10013,1,vocabulary,فِيهِ,그,,0,,,,,,A1
10014,1,vocabulary,قَالَ,말했다,,0,,,,,,A1
10015,1,vocabulary,كَادَ,할뻔했다,,0,,,,,,A1
10016,1,vocabulary,كَانَ,이었다,,0,,,,,,A1
10017,1,vocabulary,كُنَّ,이었다,,0,,,,,,A1
10018,1,vocabulary,هٰذَا,이,,0,,,,,,A1
10019,1,vocabulary,آسِيَا,아시아,,0,,,,,,A1
10020,1,vocabulary,أَحَدٌ,아무도,,0,,,,,,A1
10021,1,vocabulary,أَحَدُ,한명,,0,,,,,,A1
10022,1,vocabulary,أَلْفٌ,1000,,0,,,,,,A1
10023,1,vocabulary,أَنْتَ,당신,,0,,,,,,A1
10024,1,vocabulary,بَعْدَ,다음,,0,,,,,,A1
10025,1,vocabulary,بَعْدُ,아직,,0,,,,,,A1
10026,1,vocabulary,تَحْتَ,아래,,0,,,,,,A1
10027,1,vocabulary,خَمْسُ,5분,,0,,,,,,A1
10028,1,vocabulary,رَقْمُ,번호,,0,,,,,,A1
10029,1,vocabulary,سَمِعَ,들었다,,0,,,,,,A1
10030,1,vocabulary,سَوْفَ,것이다,,0,,,,,,A1
10031,1,vocabulary,شَجَرَ,나무,,0,,,,,,A1
10032,1,vocabulary,شَرِبَ,마셨다,,0,,,,,,A1
