﻿﻿﻿﻿chapter,arabic,korean,example_sentence,sentence_korean
2과,أَنْتَ,당신,مِنْ أَيْنَ أَنْتَ؟,(당신)은 어디서 왔나요?
2과,كُورِيَا,한국,أَنَا مِنْ كُورِيَا,(한국)에서 왔어요.
2과,الْعِرَاقِ,이라크,سَامِي مِنَ الْعِرَاقِ,사미는 (이라크)에서 왔어요.
2과,سَامِي,사미,مَنْ أَيْنَ سَامِي؟,(사미)는 어디에서 왔나요?
2과,سُورِيَا,시리아,هِيَ مِنْ سُورِيَا,그녀는 (시리아) 출신이에요.
2과,أَمْرِيكَا,미국,أَنَا مِنْ أَمْرِيكَا,나는 (미국) 출신이에요.
2과,بَيْرُوتَ,베이루트,سَمِيرٌ مِنْ بَيْرُوتَ,사미르는 (베이루트) 출신이에요.
2과,مِصْرَ,이집트,وَدَادُ مِنْ مِصْرَ,와다드는 (이집트) 출신이에요.
2과,قَطَرَ,카타르,هُوَ مِنْ قَطَرَ,그는 (카타르) 출신이에요.
2과,طَالِبًا,학생,لَيْسَ سَلِيمٌ طَالِبًا,살림은 (학생)이 아니다.
2과,طَالِبَةً,학생,لَيْسَتْ نَبِيلَةُ طَالِبَةً,나빌라는 (학생)이 아니다.
2과,الْجَامِعَةِ,대학,لَسْتُ طَالِبًا فِي الْجَامِعَةِ,나는 그 (대학) 학생이 아니다.
2과,الْجَامِعَةِ,대학,لَيْسَ أُسْتَاذًا فِي الْجَامِعَةِ,그는 그 (대학) 교수가 아니다.
2과,مُدِيرَةً,실장,لَيْسَتْ مُدِيرَةً فِي الْمَكْتَبِ,그녀는 그 사무실의 (실장)이 아니다.
2과,ذَكِيًّا,영리하지,لَيْسَ مُحَمَّدٌ ذَكِيًّا,무함마드는 (영리하지) 않다.
2과,جَمِيلَةً,예쁘지,لَيْسَتْ سَمِيرَةُ جَمِيلَةً,사미라는 (예쁘지) 않다.
2과,سَمِينًا,뚱뚱하지,لَسْتَ سَمِينًا,너는 (뚱뚱하지) 않다.
2과,بَيْرُوتَ,베이루트,لَيْسَ سَلِيمٌ مِنْ بَيْرُوتَ,살림은 (베이루트) 출신이 아니다.
2과,الْكِتَابُ,책,لَيْسَ الْكِتَابُ عَلَى الطَّاوِلَةِ,그 (책)은 탁자 위에 없다.
2과,الْآنَ,지금,لَيْسَ فِي الْبَيْتِ الْآنَ,그는 (지금) 집에 있지 않다.
2과,هُنَاكَ,그곳,لَيْسَتْ مَرْيَمُ هُنَاكَ,마르얌은 (그곳)에 있지 않다.
2과,الْحَاسُوبُ,컴퓨터,لَيْسَ الْحَاسُوبُ هُنَا,그 (컴퓨터)는 여기 있지 않다.
2과,طَالِبًا,학생,لَيْسَ طَالِبًا,그는 (학생)이 아닙니다.
