id,level,type,arabic_text,korean_meaning,verb_form,sentence_analysis
80001,8,sentence,ذَهَبَ الطَّالِبُ إِلَى الْمَدْرَسَةِ.,학생이 학교에 갔다.,1,"{""verb"": ""ذَهَبَ"", ""subject"": ""الطَّالِبُ"", ""object"": """"}"
80002,8,sentence,أَكَلَ الرَّجُلُ التُّفَّاحَةَ.,남자가 사과를 먹었다.,1,"{""verb"": ""أَكَلَ"", ""subject"": ""الرَّجُلُ"", ""object"": """"}"
80003,8,sentence,شَرِبَتِ الْفَتَاةُ الْمَاءَ.,소녀가 물을 마셨다.,1,"{""verb"": ""شَرِبَتْ"", ""subject"": ""الْفَتَاةُ"", ""object"": """"}"
80004,8,sentence,قَرَأَ الْمُعَلِّمُ الْكِتَابَ.,선생님이 책을 읽었다.,1,"{""verb"": ""قَرَأَ"", ""subject"": ""الْمُعَلِّمُ"", ""object"": """"}"
80005,8,sentence,كَتَبَتِ الطَّبِيبَةُ الرِّسَالَةَ.,여의사가 편지를 썼다.,1,"{""verb"": ""كَتَبَتْ"", ""subject"": ""الطَّبِيبَةُ"", ""object"": """"}"
80006,8,sentence,فَتَحَ الْوَلَدُ الْبَابَ.,소년이 문을 열었다.,1,"{""verb"": ""فَتَحَ"", ""subject"": ""الْوَلَدُ"", ""object"": """"}"
80007,8,sentence,سَمِعَتِ الْأُمُّ الْخَبَرَ.,어머니가 소식을 들었다.,1,"{""verb"": ""سَمِعَتْ"", ""subject"": ""الْأُمُّ"", ""object"": """"}"
80008,8,sentence,رَأَى السَّائِحُ الْمَدِينَةَ.,관광객이 도시를 보았다.,1,"{""verb"": ""رَأَى"", ""subject"": ""السَّائِحُ"", ""object"": """"}"
80009,8,sentence,اشْتَرَى الْأَبُ السَّيَّارَةَ.,아버지가 차를 샀다.,1,"{""verb"": ""اشْتَرَى"", ""subject"": ""الْأَبُ"", ""object"": """"}"
80010,8,sentence,طَبَخَتِ الْجَدَّةُ الطَّعَامَ.,할머니가 음식을 요리했다.,1,"{""verb"": ""طَبَخَتْ"", ""subject"": ""الْجَدَّةُ"", ""object"": """"}"
80011,8,sentence,ذَهَبَ الطَّالِبُ إِلَى الْمَدْرَسَةِ,학생이 학교에 갔다,1,"{""verb"": ""ذَهَبَ"", ""subject"": ""الطَّالِبُ"", ""object"": """"}"
80012,8,sentence,شَرِبَتْ الْبِنْتُ الْمَاءَ,소녀가 물을 마셨다,1,"{""verb"": ""شَرِبَتْ"", ""subject"": ""الْبِنْتُ"", ""object"": """"}"
80013,8,sentence,أَكَلَ الْوَلَدُ التُّفَّاحَةَ,소년이 사과를 먹었다,1,"{""verb"": ""أَكَلَ"", ""subject"": ""الْوَلَدُ"", ""object"": """"}"
80014,8,sentence,قَرَأَ الرَّجُلُ الْكِتَابَ,남자가 책을 읽었다,1,"{""verb"": ""قَرَأَ"", ""subject"": ""الرَّجُلُ"", ""object"": """"}"
80015,8,sentence,كَتَبَتْ الْمُعَلِّمَةُ الرِّسَالَةَ,선생님이 편지를 썼다,1,"{""verb"": ""كَتَبَتْ"", ""subject"": ""الْمُعَلِّمَةُ"", ""object"": """"}"
