id,level,type,arabic_text,korean_meaning,root,part_of_speech,gender,phrase_components
20001,2,phrase,الْبَيْتُ الْكَبِيرُ,그 큰 집,ب-ي-ت,phrase,M,"{""noun"":""بَيْت"",""adj"":""كَبِير""}"
20002,2,phrase,الْكِتَابُ الْجَدِيدُ,그 새 책,ك-ت-ب,phrase,M,"{""noun"":""كِتَاب"",""adj"":""جَدِيد""}"
20003,2,phrase,السَّيَّارَةُ الصَّغِيرَةُ,그 작은 차,س-ي-ر,phrase,F,"{""noun"":""سَيَّارَة"",""adj"":""صَغِيرَة""}"
20004,2,phrase,الطَّالِبَةُ الذَّكِيَّةُ,그 똑똑한 (여)학생,ط-ل-ب,phrase,F,"{""noun"":""طَالِبَة"",""adj"":""ذَكِيَّة""}"
20005,2,phrase,الْمَدْرَسَةُ الْجَمِيلَةُ,그 아름다운 학교,د-ر-س,phrase,F,"{""noun"":""مَدْرَسَة"",""adj"":""جَمِيلَة""}"
20006,2,phrase,الْوَلَدُ الطَّوِيلُ,그 키 큰 소년,و-ل-د,phrase,M,"{""noun"":""وَلَد"",""adj"":""طَوِيل""}"
20007,2,phrase,الْبِنْتُ الصَّغِيرَةُ,그 어린 소녀,ب-ن-ت,phrase,F,"{""noun"":""بِنْت"",""adj"":""صَغِيرَة""}"
20008,2,phrase,الطَّعَامُ اللَّذِيذُ,그 맛있는 음식,ط-ع-م,phrase,M,"{""noun"":""طَعَام"",""adj"":""لَذِيذ""}"
20009,2,phrase,الْمَاءُ الْبَارِدُ,그 차가운 물,م-و-ء,phrase,M,"{""noun"":""مَاء"",""adj"":""بَارِد""}"
20010,2,phrase,الشَّمْسُ الْحَارَّةُ,그 뜨거운 태양,ش-م-س,phrase,F,"{""noun"":""شَمْس"",""adj"":""حَارَّة""}"
20011,2,phrase,بَيْتٌ كَبِيرٌ,큰 집 (하나),ب-ي-ت,phrase,M,"{""noun"":""بَيْت"",""adj"":""كَبِير""}"
20012,2,phrase,كِتَابٌ جَدِيدٌ,새 책 (하나),ك-ت-ب,phrase,M,"{""noun"":""كِتَاب"",""adj"":""جَدِيد""}"
20013,2,phrase,سَيَّارَةٌ صَغِيرَةٌ,작은 차 (하나),س-ي-ر,phrase,F,"{""noun"":""سَيَّارَة"",""adj"":""صَغِيرَة""}"
20014,2,phrase,الرَّجُلُ الْقَوِيُّ,그 힘센 남자,ر-ج-ل,phrase,M,"{""noun"":""رَجُل"",""adj"":""قَوِيّ""}"
20015,2,phrase,الْمَرْأَةُ الْكَرِيمَةُ,그 관대한 여자,م-ر-ء,phrase,F,"{""noun"":""مَرْأَة"",""adj"":""كَرِيمَة""}"
20016,2,phrase,الْقَلَمُ الْأَزْرَقُ,그 파란 펜,ق-ل-م,phrase,M,"{""noun"":""قَلَم"",""adj"":""أَزْرَق""}"
20017,2,phrase,الْغُرْفَةُ الْوَاسِعَةُ,그 넓은 방,غ-ر-ف,phrase,F,"{""noun"":""غُرْفَة"",""adj"":""وَاسِعَة""}"
20018,2,phrase,الطَّرِيقُ الطَّوِيلُ,그 긴 길,ط-ر-ق,phrase,M,"{""noun"":""طَرِيق"",""adj"":""طَوِيل""}"
20019,2,phrase,الْحَدِيقَةُ الْخَضْرَاءُ,그 푸른 정원,ح-د-ق,phrase,F,"{""noun"":""حَدِيقَة"",""adj"":""خَضْرَاء""}"
20020,2,phrase,الصَّدِيقُ الْقَدِيمُ,그 오랜 친구,ص-د-ق,phrase,M,"{""noun"":""صَدِيق"",""adj"":""قَدِيم""}"
