id,level,type,arabic_text,korean_meaning,root,gender,phrase_components
20001,2,phrase,كِتَابٌ جَدِيدٌ,새로운 책,ك-ت-ب,M,"{""noun"": ""كِتَابٌ"", ""adj"": ""جَدِيدٌ""}"
20002,2,phrase,بَيْتٌ كَبِيرٌ,큰 집,ب-ي-ت,M,"{""noun"": ""بَيْتٌ"", ""adj"": ""كَبِيرٌ""}"
20003,2,phrase,وَلَدٌ صَغِيرٌ,어린 소년,و-ل-د,M,"{""noun"": ""وَلَدٌ"", ""adj"": ""صَغِيرٌ""}"
20004,2,phrase,قَلَمٌ طَوِيلٌ,긴 펜,ق-ل-م,M,"{""noun"": ""قَلَمٌ"", ""adj"": ""طَوِيلٌ""}"
20005,2,phrase,رَجُلٌ طَيِّبٌ,착한 남자,ر-ج-ل,M,"{""noun"": ""رَجُلٌ"", ""adj"": ""طَيِّبٌ""}"
20006,2,phrase,الْكِتَابُ الْجَدِيدُ,그 새로운 책,ك-ت-ب,M,"{""noun"": ""الْكِتَابُ"", ""adj"": ""الْجَدِيدُ""}"
20007,2,phrase,الْبَيْتُ الْكَبِيرُ,그 큰 집,ب-ي-ت,M,"{""noun"": ""الْبَيْتُ"", ""adj"": ""الْكَبِيرُ""}"
20008,2,phrase,الْوَلَدُ الصَّغِيرُ,그 어린 소년,و-ل-د,M,"{""noun"": ""الْوَلَدُ"", ""adj"": ""الصَّغِيرُ""}"
20009,2,phrase,الْقَلَمُ الطَّوِيلُ,그 긴 펜,ق-ل-م,M,"{""noun"": ""الْقَلَمُ"", ""adj"": ""الطَّوِيلُ""}"
20010,2,phrase,الرَّجُلُ الطَّيِّبُ,그 착한 남자,ر-ج-ل,M,"{""noun"": ""الرَّجُلُ"", ""adj"": ""الطَّيِّبُ""}"
20011,2,phrase,سَيَّارَةٌ جَدِيدَةٌ,새로운 차,س-ي-ر,F,"{""noun"": ""سَيَّارَةٌ"", ""adj"": ""جَدِيدَةٌ""}"
20012,2,phrase,غُرْفَةٌ كَبِيرَةٌ,큰 방,غ-ر-ف,F,"{""noun"": ""غُرْفَةٌ"", ""adj"": ""كَبِيرَةٌ""}"
20013,2,phrase,بِنْتٌ صَغِيرَةٌ,어린 소녀,ب-ن-ت,F,"{""noun"": ""بِنْتٌ"", ""adj"": ""صَغِيرَةٌ""}"
20014,2,phrase,مَدِينَةٌ جَمِيلَةٌ,아름다운 도시,م-د-ن,F,"{""noun"": ""مَدِينَةٌ"", ""adj"": ""جَمِيلَةٌ""}"
20015,2,phrase,طَالِبَةٌ مُجْتَهِدَةٌ,성실한 여학생,ط-ل-ب,F,"{""noun"": ""طَالِبَةٌ"", ""adj"": ""مُجْتَهِدَةٌ""}"
20016,2,phrase,السَّيَّارَةُ الْجَدِيدَةُ,그 새로운 차,س-ي-ر,F,"{""noun"": ""السَّيَّارَةُ"", ""adj"": ""الْجَدِيدَةُ""}"
20017,2,phrase,الْغُرْفَةُ الْكَبِيرَةُ,그 큰 방,غ-ر-ف,F,"{""noun"": ""الْغُرْفَةُ"", ""adj"": ""الْكَبِيرَةُ""}"
20018,2,phrase,الْبِنْتُ الصَّغِيرَةُ,그 어린 소녀,ب-ن-ت,F,"{""noun"": ""الْبِنْتُ"", ""adj"": ""الصَّغِيرَةُ""}"
20019,2,phrase,الْمَدِينَةُ الْجَمِيلَةُ,그 아름다운 도시,م-د-ن,F,"{""noun"": ""الْمَدِينَةُ"", ""adj"": ""الْجَمِيلَةُ""}"
20020,2,phrase,الطَّالِبَةُ الْمُجْتَهِدَةُ,그 성실한 여학생,ط-ل-ب,F,"{""noun"": ""الطَّالِبَةُ"", ""adj"": ""الْمُجْتَهِدَةُ""}"
20021,2,phrase,مُعَلِّمٌ نَشِيطٌ,활동적인 선생님,ع-ل-م,M,"{""noun"": ""مُعَلِّمٌ"", ""adj"": ""نَشِيطٌ""}"
20022,2,phrase,الْمُعَلِّمُ النَّشِيطُ,그 활동적인 선생님,ع-ل-م,M,"{""noun"": ""الْمُعَلِّمُ"", ""adj"": ""النَّشِيطُ""}"
20023,2,phrase,شَجَرَةٌ عَالِيَةٌ,높은 나무,ش-ج-ر,F,"{""noun"": ""شَجَرَةٌ"", ""adj"": ""عَالِيَةٌ""}"
